,gamma_2.5,gamma_2.5,gamma_3.1,gamma_3.1,gamma_3.5,gamma_3.5,gamma_4,gamma_4,ER_1.5,ER_1.5,ER_2,ER_2,ER_6,ER_6
,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian
2017-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-29,5,5,5,5,5,5,5,5,5,5,5,5,6,5
2017-07-30,5,5,5,5,5,5,5,5,5,5,5,5,8,5
2017-07-31,5,5,5,5,5,5,5,5,5,5,5,5,9,5
2017-08-01,5,5,5,5,5,5,5,5,5,5,5,5,10,5
2017-08-02,5,5,5,5,5,5,5,5,5,5,5,5,11,5
2017-08-03,5,5,5,5,5,5,5,5,5,5,5,5,14,5
2017-08-04,5,5,5,5,5,5,5,5,5,5,5,5,20,5
2017-08-05,5,5,5,5,5,5,5,5,5,5,5,5,25,5
2017-08-06,5,5,6,5,5,5,5,5,5,5,5,5,29,6
2017-08-07,5,5,6,5,5,5,5,5,5,5,5,5,34,6
2017-08-08,5,5,6,5,12,5,6,5,5,5,5,5,41,6
2017-08-09,5,5,6,6,17,5,6,5,6,5,6,7,50,6
2017-08-10,5,5,6,6,22,5,6,5,6,5,6,7,56,6
2017-08-11,5,5,6,6,26,5,6,5,6,5,6,7,61,6
2017-08-12,5,5,6,6,29,5,6,5,6,5,6,7,69,7
2017-08-13,5,5,6,6,34,5,6,5,6,6,6,7,74,7
2017-08-14,5,5,6,6,41,5,7,5,6,6,7,7,79,7
2017-08-15,5,5,6,7,52,5,7,5,6,6,7,7,87,7
2017-08-16,5,5,6,7,57,5,7,5,6,6,7,7,93,8
2017-08-17,5,5,6,7,63,5,7,5,6,6,7,7,98,8
2017-08-18,5,6,6,7,66,5,7,5,6,6,9,8,107,9
2017-08-19,5,6,6,8,73,5,7,5,6,6,9,8,116,10
2017-08-20,5,6,6,8,79,5,7,5,7,6,9,8,132,10
2017-08-21,5,6,6,8,86,5,7,6,7,6,9,8,151,11
2017-08-22,5,6,6,8,93,5,7,6,8,6,9,9,172,11
2017-08-23,5,6,6,8,104,5,7,6,8,6,9,9,182,11
2017-08-24,5,7,6,8,111,5,8,6,8,6,9,12,195,12
2017-08-25,5,8,6,9,119,5,8,6,8,6,9,12,209,12
2017-08-26,5,8,7,9,126,5,8,6,8,6,10,12,226,12
2017-08-27,5,8,7,9,132,5,8,6,9,6,10,12,245,13
2017-08-28,5,8,7,10,139,5,8,6,9,6,10,12,269,13
2017-08-29,5,8,8,10,145,5,8,6,10,7,11,12,291,14
2017-08-30,5,8,8,11,153,5,8,6,10,7,11,12,325,14
2017-08-31,6,8,8,11,162,5,8,6,10,7,11,12,350,14
2017-09-01,11,9,8,12,171,5,8,7,11,7,11,12,390,14
2017-09-02,13,10,8,12,181,5,8,7,11,7,11,12,418,14
2017-09-03,14,11,8,13,188,6,8,7,12,7,11,14,453,16
2017-09-04,21,11,9,13,199,6,8,7,12,7,11,15,506,18
2017-09-05,26,11,9,14,210,6,8,7,12,7,11,16,559,18
2017-09-06,44,11,9,14,217,7,8,8,12,7,11,16,610,20
2017-09-07,57,11,10,14,224,7,8,8,12,7,11,17,668,21
2017-09-08,80,11,10,15,230,7,8,8,12,8,11,17,723,22
2017-09-09,114,12,10,16,239,7,8,8,12,8,11,17,782,23
2017-09-10,147,13,10,16,250,7,9,8,12,11,12,17,828,23
2017-09-11,184,14,10,16,264,7,9,8,12,11,12,17,893,25
2017-09-12,224,15,10,17,276,7,9,8,12,11,12,17,960,26
2017-09-13,269,15,10,18,284,7,9,8,13,11,12,17,1033,27
2017-09-14,309,17,10,19,295,7,9,8,13,11,13,17,1118,30
2017-09-15,348,17,10,19,304,7,9,8,13,11,13,17,1208,32
2017-09-16,405,17,11,19,314,7,9,8,14,11,13,17,1293,34
2017-09-17,454,17,13,19,328,7,9,8,14,12,13,17,1377,37
2017-09-18,510,18,15,21,342,7,9,9,14,12,13,18,1471,41
2017-09-19,556,21,15,22,355,7,9,9,15,12,13,18,1582,41
2017-09-20,627,22,21,23,371,7,9,9,17,12,13,18,1702,41
2017-09-21,690,27,22,24,384,8,9,10,18,12,14,18,1812,42
2017-09-22,760,27,22,24,390,8,9,10,18,12,14,19,1917,44
2017-09-23,833,35,23,25,408,8,9,10,19,12,14,19,2023,47
2017-09-24,900,38,24,26,426,8,9,10,19,12,14,20,2130,50
2017-09-25,971,39,24,28,442,8,9,10,19,12,15,20,2235,51
2017-09-26,1030,43,26,29,451,8,9,10,20,12,16,20,2357,52
2017-09-27,1097,49,28,30,464,8,9,10,20,12,16,20,2461,55
2017-09-28,1164,53,29,33,481,8,9,10,20,12,16,20,2542,58
2017-09-29,1222,56,32,35,499,8,9,10,20,12,16,20,2652,59
2017-09-30,1286,62,34,35,514,8,9,10,20,12,17,20,2757,61
2017-10-01,1337,72,35,36,531,8,9,10,20,13,18,20,2855,64
2017-10-02,1390,74,37,37,545,8,10,10,20,13,19,22,2976,66
2017-10-03,1447,85,40,39,559,8,11,10,20,13,20,22,3095,69
2017-10-04,1503,94,41,42,567,8,11,10,21,13,20,22,3205,71
2017-10-05,1553,101,42,43,581,8,12,11,21,13,21,22,3311,76
2017-10-06,1601,108,45,44,593,8,12,11,21,14,21,22,3394,81
2017-10-07,1649,117,49,47,607,8,12,11,22,14,21,22,3472,83
2017-10-08,1714,128,51,50,625,8,12,11,22,14,21,22,3566,90
2017-10-09,1757,143,54,51,640,8,12,11,22,16,21,24,3648,96
2017-10-10,1809,154,55,54,655,8,12,11,22,16,23,24,3737,99
2017-10-11,1853,163,55,57,669,8,14,11,23,16,23,25,3820,100
2017-10-12,1894,182,59,57,681,8,14,12,23,18,24,26,3877,104
2017-10-13,1944,198,61,59,689,8,14,13,24,18,24,26,3939,106
2017-10-14,1981,215,63,59,705,8,14,13,25,18,24,26,3995,108
2017-10-15,2016,231,64,59,720,8,14,13,25,18,24,27,4056,115
2017-10-16,2055,256,67,59,737,8,14,13,26,18,24,27,4098,122
2017-10-17,2096,275,71,65,754,8,15,14,26,18,24,27,4163,126
2017-10-18,2135,294,74,68,774,8,15,14,26,19,24,27,4212,130
2017-10-19,2171,320,80,69,788,8,15,14,27,19,24,27,4250,132
2017-10-20,2218,341,87,71,806,8,15,14,27,19,24,28,4291,136
2017-10-21,2257,365,93,73,818,8,15,14,27,19,24,28,4336,141
2017-10-22,2289,398,105,75,832,8,15,14,27,19,24,29,4366,149
2017-10-23,2326,429,109,75,840,8,16,14,27,19,24,29,4392,153
2017-10-24,2360,457,114,81,855,8,16,15,27,20,25,30,4432,165
2017-10-25,2391,474,120,87,868,8,16,15,27,20,25,32,4463,171
2017-10-26,2420,494,130,91,881,8,16,15,27,20,25,32,4488,177
2017-10-27,2458,515,141,92,895,8,17,15,27,21,25,32,4510,185
2017-10-28,2485,555,156,95,910,8,17,15,27,21,25,33,4534,197
2017-10-29,2517,592,168,96,927,8,17,15,27,21,26,33,4554,211
2017-10-30,2542,627,183,97,938,8,18,15,27,21,26,33,4574,220
2017-10-31,2572,658,194,101,952,8,18,15,28,21,27,34,4593,231
2017-11-01,2608,695,212,103,976,8,18,17,29,22,27,35,4611,236
2017-11-02,2636,745,227,108,992,8,19,17,31,23,27,37,4633,242
2017-11-03,2662,782,245,112,1007,8,19,18,31,23,27,37,4655,249
2017-11-04,2684,816,253,118,1024,8,19,18,31,24,27,37,4673,259
2017-11-05,2706,847,261,120,1038,8,19,18,31,25,27,38,4691,273
2017-11-06,2725,879,274,123,1052,8,19,18,31,25,27,38,4713,286
2017-11-07,2748,921,284,127,1072,8,19,19,32,25,28,38,4729,301
2017-11-08,2781,965,297,130,1088,8,19,19,32,26,28,38,4738,314
2017-11-09,2815,999,307,135,1103,8,20,19,32,26,28,38,4753,336
2017-11-10,2837,1035,321,139,1127,8,20,19,33,26,28,39,4762,349
2017-11-11,2860,1080,333,144,1151,8,20,20,33,26,28,42,4779,360
2017-11-12,2884,1117,346,152,1168,8,20,20,33,26,29,44,4790,378
2017-11-13,2906,1158,362,161,1182,9,21,20,33,27,30,45,4797,389
2017-11-14,2929,1196,381,167,1200,9,21,21,33,27,30,46,4808,396
2017-11-15,2941,1241,398,172,1219,9,21,22,33,27,31,46,4815,422
2017-11-16,2954,1278,408,175,1230,9,22,22,33,27,31,46,4822,437
2017-11-17,2983,1325,429,180,1241,9,23,22,33,27,31,48,4828,458
2017-11-18,3002,1371,454,184,1252,9,23,23,36,27,32,50,4834,481
2017-11-19,3026,1411,473,191,1269,9,23,23,36,27,32,50,4842,500
2017-11-20,3044,1446,489,198,1280,9,23,24,36,30,35,51,4845,518
2017-11-21,3063,1498,511,206,1301,9,24,24,36,30,35,51,4849,541
2017-11-22,3082,1545,529,211,1308,9,25,25,36,31,38,51,4853,563
2017-11-23,3100,1593,546,219,1330,9,26,26,36,31,41,52,4857,587
2017-11-24,3113,1631,567,228,1346,9,27,26,36,32,43,52,4866,617
2017-11-25,3130,1671,596,233,1361,9,28,26,37,32,44,52,4871,641
2017-11-26,3155,1715,618,240,1380,9,28,26,37,33,44,53,4874,669
2017-11-27,3165,1769,643,248,1393,9,28,27,38,33,45,55,4878,692
2017-11-28,3177,1822,662,261,1405,9,28,27,41,33,47,58,4883,714
2017-11-29,3189,1867,684,266,1425,9,28,27,41,33,48,59,4885,736
2017-11-30,3201,1911,718,272,1443,9,28,29,41,34,48,59,4890,769
2017-12-01,3214,1967,739,282,1463,9,28,29,41,35,52,62,4894,805
2017-12-02,3227,2015,766,289,1482,9,28,29,41,37,53,64,4900,846
2017-12-03,3244,2053,789,294,1503,9,28,29,41,37,54,64,4902,884
2017-12-04,3257,2092,826,300,1515,9,29,29,42,39,55,66,4908,920
2017-12-05,3272,2125,857,309,1530,9,29,29,44,39,57,66,4911,962
2017-12-06,3288,2171,889,320,1551,9,30,29,44,40,58,66,4914,1001
2017-12-07,3299,2218,906,327,1562,9,31,29,44,41,58,68,4918,1034
2017-12-08,3307,2255,930,340,1582,9,31,31,44,42,60,68,4923,1078
2017-12-09,3317,2296,959,352,1594,9,31,31,44,42,61,70,4925,1126
2017-12-10,3331,2331,988,360,1609,9,33,31,44,42,61,73,4927,1169
2017-12-11,3345,2364,1006,368,1623,9,34,32,45,43,61,76,4928,1206
2017-12-12,3354,2392,1024,385,1639,9,36,32,45,43,62,77,4929,1245
2017-12-13,3363,2420,1042,391,1656,9,36,32,45,43,62,78,4930,1293
2017-12-14,3375,2457,1070,401,1674,9,37,32,45,43,64,81,4930,1333
2017-12-15,3383,2500,1089,412,1686,9,38,32,46,43,68,81,4931,1375
2017-12-16,3391,2528,1105,426,1702,9,40,33,46,44,68,82,4931,1438
2017-12-17,3402,2559,1126,435,1721,9,43,33,46,45,68,82,4934,1482
2017-12-18,3412,2596,1144,445,1735,9,44,34,46,45,71,83,4936,1533
2017-12-19,3416,2632,1171,461,1754,9,45,36,46,46,73,85,4939,1591
2017-12-20,3430,2658,1204,473,1770,9,45,36,47,46,76,89,4942,1651
2017-12-21,3434,2688,1224,487,1791,9,45,37,47,46,77,90,4943,1705
2017-12-22,3443,2718,1249,499,1805,9,45,37,48,46,80,90,4943,1747
2017-12-23,3453,2745,1273,510,1817,9,47,37,48,48,80,91,4944,1815
2017-12-24,3463,2771,1295,527,1833,9,49,38,48,48,81,94,4945,1868
2017-12-25,3471,2803,1315,542,1851,10,51,39,48,51,82,95,4945,1917
2017-12-26,3480,2843,1336,554,1862,10,51,39,48,53,86,97,4947,1975
2017-12-27,3487,2860,1359,569,1874,10,52,40,48,53,88,101,4951,2033
2017-12-28,3493,2887,1382,588,1882,10,52,40,48,53,89,101,4951,2092
2017-12-29,3503,2912,1401,603,1899,10,53,40,48,54,90,102,4951,2157
2017-12-30,3514,2933,1423,616,1910,10,53,40,48,54,91,104,4951,2231
2017-12-31,3516,2950,1441,625,1923,10,55,40,49,55,94,106,4951,2284
2018-01-01,3520,2967,1461,638,1935,10,55,41,49,56,97,107,4951,2348
2018-01-02,3529,2990,1487,648,1950,10,57,41,49,59,98,110,4951,2417
2018-01-03,3542,3019,1502,671,1973,11,58,42,49,61,101,112,4951,2490
2018-01-04,3550,3040,1523,690,1988,11,58,43,50,61,101,116,4954,2560
2018-01-05,3554,3064,1550,706,2005,11,60,44,52,62,103,118,4954,2633
2018-01-06,3559,3091,1574,721,2017,11,61,44,52,62,106,119,4955,2704
2018-01-07,3564,3119,1600,740,2028,11,62,44,54,63,106,120,4956,2761
2018-01-08,3570,3140,1622,753,2043,11,63,44,55,64,112,123,4957,2841
2018-01-09,3577,3161,1649,771,2060,11,63,44,55,65,112,127,4958,2906
2018-01-10,3582,3182,1678,786,2070,11,63,44,56,66,115,127,4962,2966
2018-01-11,3590,3211,1695,801,2084,11,63,44,57,67,117,128,4964,3036
2018-01-12,3595,3229,1722,819,2102,11,63,44,57,69,118,131,4964,3099
2018-01-13,3596,3249,1744,838,2118,11,63,45,57,71,118,132,4965,3170
2018-01-14,3605,3259,1770,848,2131,11,63,45,57,71,120,136,4965,3245
2018-01-15,3613,3279,1793,868,2139,11,63,46,57,73,123,140,4965,3308
2018-01-16,3616,3295,1822,884,2150,12,64,46,57,75,124,143,4965,3370
2018-01-17,3621,3307,1845,900,2163,12,65,47,58,75,126,145,4967,3432
2018-01-18,3623,3321,1854,916,2178,12,66,47,59,76,128,146,4967,3493
2018-01-19,3628,3338,1875,938,2195,12,68,47,60,77,130,150,4968,3544
2018-01-20,3631,3348,1905,959,2208,12,69,48,61,79,133,152,4968,3607
2018-01-21,3638,3367,1929,979,2224,12,69,49,61,79,133,152,4969,3667
2018-01-22,3642,3393,1943,1000,2236,12,69,51,61,81,134,154,4970,3727
2018-01-23,3647,3402,1960,1018,2248,12,69,51,61,82,139,156,4970,3779
2018-01-24,3653,3414,1980,1039,2261,12,71,51,61,83,144,158,4970,3836
2018-01-25,3657,3431,1995,1061,2267,12,71,53,63,84,146,162,4971,3888
2018-01-26,3659,3444,2015,1086,2286,12,75,53,63,86,148,164,4972,3931
2018-01-27,3660,3463,2032,1105,2295,12,75,54,63,87,152,166,4972,3985
2018-01-28,3663,3473,2053,1125,2311,12,75,56,63,88,154,169,4973,4044
2018-01-29,3666,3480,2080,1148,2320,12,77,57,64,89,154,169,4973,4101
2018-01-30,3667,3492,2101,1168,2328,12,77,57,65,89,155,171,4973,4145
2018-01-31,3670,3502,2126,1189,2338,12,77,60,66,93,157,172,4973,4188
2018-02-01,3673,3517,2141,1204,2351,12,77,63,67,96,161,178,4973,4232
2018-02-02,3676,3525,2156,1220,2359,12,77,63,67,97,164,178,4974,4277
2018-02-03,3677,3536,2176,1246,2364,13,78,63,67,99,165,182,4975,4302
2018-02-04,3678,3544,2195,1271,2374,13,79,63,69,102,168,184,4975,4341
2018-02-05,3683,3557,2211,1284,2381,13,81,65,70,105,170,187,4975,4380
2018-02-06,3689,3562,2230,1304,2387,14,83,66,71,106,172,190,4976,4418
2018-02-07,3693,3573,2245,1319,2394,15,83,68,71,107,175,194,4977,4447
2018-02-08,3694,3583,2268,1334,2406,15,83,70,71,107,176,198,4977,4488
2018-02-09,3696,3594,2283,1351,2414,15,84,72,73,108,180,203,4977,4522
2018-02-10,3700,3603,2295,1375,2422,15,84,74,73,109,183,205,4977,4551
2018-02-11,3702,3615,2306,1400,2432,15,85,75,73,110,185,210,4977,4576
2018-02-12,3706,3628,2322,1421,2441,15,87,77,73,113,187,216,4977,4597
2018-02-13,3709,3646,2339,1448,2456,15,90,78,75,115,189,220,4977,4617
2018-02-14,3715,3652,2350,1466,2467,16,91,83,76,115,192,220,4977,4637
2018-02-15,3720,3658,2368,1485,2478,17,92,84,76,115,196,227,4977,4651
2018-02-16,3726,3664,2377,1510,2489,17,92,85,76,115,199,229,4977,4674
2018-02-17,3728,3669,2391,1529,2490,18,92,90,76,117,201,231,4977,4690
2018-02-18,3731,3678,2406,1544,2497,18,92,92,76,119,202,236,4977,4709
2018-02-19,3733,3680,2419,1568,2506,18,93,95,76,123,205,243,4978,4723
2018-02-20,3736,3688,2430,1593,2517,19,94,97,77,123,209,251,4978,4743
2018-02-21,3742,3701,2447,1614,2528,19,94,98,77,123,211,254,4978,4760
2018-02-22,3746,3704,2464,1628,2533,20,96,100,77,124,215,254,4979,4771
2018-02-23,3748,3705,2476,1649,2545,20,99,102,78,125,216,257,4979,4788
2018-02-24,3750,3715,2493,1679,2551,22,100,103,79,127,219,261,4979,4800
2018-02-25,3752,3720,2506,1697,2559,22,100,104,80,128,225,263,4979,4811
2018-02-26,3755,3729,2517,1712,2568,23,100,104,80,132,229,264,4979,4819
2018-02-27,3757,3739,2528,1728,2575,25,100,105,81,132,234,267,4979,4836
2018-02-28,3758,3741,2539,1743,2583,26,100,110,82,132,237,268,4979,4849
2018-03-01,3759,3749,2546,1759,2587,26,100,112,83,133,243,272,4979,4859
2018-03-02,3761,3754,2559,1783,2594,27,100,114,84,133,253,279,4979,4866
2018-03-03,3763,3759,2569,1803,2601,28,100,115,84,136,257,285,4979,4872
2018-03-04,3766,3760,2580,1821,2606,29,102,116,85,136,258,293,4979,4877
2018-03-05,3768,3762,2596,1837,2612,30,102,119,85,137,262,299,4979,4881
2018-03-06,3769,3767,2604,1861,2613,33,104,119,86,139,268,306,4979,4884
2018-03-07,3771,3771,2617,1881,2619,37,107,120,88,139,272,311,4979,4892
2018-03-08,3771,3776,2630,1899,2625,38,109,122,89,140,278,315,4979,4901
2018-03-09,3772,3779,2639,1913,2628,42,111,123,89,141,287,323,4979,4911
2018-03-10,3774,3780,2654,1929,2633,44,113,124,89,143,291,328,4979,4915
2018-03-11,3780,3781,2660,1942,2638,46,115,129,89,144,295,331,4979,4921
2018-03-12,3781,3787,2664,1961,2643,51,116,131,89,146,297,336,4979,4923
2018-03-13,3785,3791,2679,1981,2653,57,116,133,90,146,303,340,4980,4925
2018-03-14,3787,3793,2684,1998,2659,62,117,134,90,149,311,341,4980,4928
2018-03-15,3789,3798,2702,2021,2663,64,117,139,90,150,314,345,4980,4931
2018-03-16,3789,3798,2715,2038,2674,68,118,141,91,151,316,347,4981,4933
2018-03-17,3795,3803,2725,2051,2676,73,120,143,92,152,322,353,4981,4936
2018-03-18,3798,3808,2736,2063,2691,79,123,149,92,152,323,356,4982,4937
2018-03-19,3801,3812,2748,2079,2697,82,125,151,93,153,328,359,4982,4941
2018-03-20,3803,3818,2758,2096,2705,87,127,151,93,157,335,363,4982,4942
2018-03-21,3805,3820,2772,2118,2710,95,128,154,93,159,343,368,4982,4944
2018-03-22,3806,3823,2779,2139,2715,107,130,157,93,160,347,375,4983,4949
2018-03-23,3808,3827,2790,2150,2721,116,134,159,93,160,355,377,4983,4951
2018-03-24,3809,3832,2798,2167,2728,119,134,160,93,161,362,378,4983,4952
2018-03-25,3810,3835,2804,2186,2734,128,138,162,95,164,366,386,4983,4954
2018-03-26,3812,3836,2814,2215,2737,133,139,164,96,167,374,389,4983,4956
2018-03-27,3816,3837,2828,2229,2744,144,140,168,97,168,377,393,4984,4956
2018-03-28,3818,3838,2833,2246,2750,154,141,169,101,169,379,399,4984,4956
2018-03-29,3821,3839,2842,2272,2752,168,141,173,101,173,387,400,4984,4957
2018-03-30,3824,3842,2848,2289,2754,171,144,178,102,174,393,408,4984,4957
2018-03-31,3825,3842,2862,2305,2759,178,145,182,102,175,398,414,4984,4960
2018-04-01,3825,3843,2866,2324,2765,179,145,182,103,177,408,417,4984,4963
2018-04-02,3826,3844,2876,2342,2771,181,146,184,104,179,414,425,4984,4963
2018-04-03,3827,3845,2884,2356,2777,188,150,185,104,181,420,433,4984,4964
2018-04-04,3831,3846,2894,2368,2782,199,151,187,105,182,427,437,4984,4967
2018-04-05,3832,3848,2900,2386,2786,204,153,191,105,185,431,444,4984,4967
2018-04-06,3834,3848,2909,2404,2790,209,154,192,106,188,434,445,4984,4967
2018-04-07,3835,3851,2917,2414,2799,215,156,193,108,190,443,455,4984,4967
2018-04-08,3836,3854,2924,2428,2804,223,160,195,110,192,451,460,4984,4967
2018-04-09,3839,3855,2930,2442,2807,228,162,202,111,192,456,470,4984,4970
2018-04-10,3842,3856,2940,2451,2810,238,163,204,111,193,459,475,4984,4970
2018-04-11,3844,3858,2947,2466,2810,242,167,205,112,196,463,478,4984,4970
2018-04-12,3845,3860,2950,2477,2819,248,168,207,112,196,470,483,4985,4970
2018-04-13,3845,3861,2957,2491,2824,251,172,210,114,201,484,494,4985,4971
2018-04-14,3846,3861,2961,2505,2833,256,174,213,116,202,489,502,4985,4971
2018-04-15,3847,3862,2966,2524,2839,264,176,216,116,203,495,508,4985,4971
2018-04-16,3847,3866,2975,2538,2846,276,178,221,119,204,507,515,4985,4971
2018-04-17,3849,3868,2985,2557,2853,283,181,223,119,206,514,522,4985,4972
2018-04-18,3849,3868,2996,2572,2858,296,181,227,119,208,526,526,4985,4972
2018-04-19,3852,3868,3002,2588,2861,308,184,230,122,209,529,537,4985,4972
2018-04-20,3852,3871,3010,2600,2864,315,186,236,124,210,538,543,4985,4973
2018-04-21,3852,3873,3018,2609,2866,328,186,239,124,211,544,547,4985,4974
2018-04-22,3852,3873,3025,2615,2870,344,189,240,127,211,554,552,4985,4974
2018-04-23,3853,3874,3033,2631,2876,357,190,244,127,212,566,561,4985,4975
2018-04-24,3853,3874,3040,2637,2877,365,193,247,128,214,580,569,4985,4975
2018-04-25,3855,3876,3045,2648,2879,376,195,253,129,216,589,574,4985,4976
2018-04-26,3858,3876,3047,2662,2883,383,196,256,129,218,597,583,4985,4976
2018-04-27,3858,3878,3050,2672,2886,393,197,260,131,219,603,589,4985,4976
2018-04-28,3858,3879,3054,2688,2892,400,202,261,131,220,619,596,4985,4977
2018-04-29,3859,3881,3058,2698,2896,410,207,262,135,221,630,606,4985,4978
2018-04-30,3859,3881,3064,2710,2904,421,210,266,137,223,636,612,4985,4978
2018-05-01,3860,3881,3070,2723,2907,428,213,272,138,225,647,620,4985,4978
2018-05-02,3861,3883,3077,2740,2913,432,214,277,140,226,651,630,4985,4979
2018-05-03,3864,3883,3085,2754,2919,439,219,285,141,227,660,640,4985,4979
2018-05-04,3864,3884,3088,2762,2922,447,227,289,144,228,671,653,4985,4979
2018-05-05,3864,3884,3093,2775,2927,459,229,291,145,230,679,663,4985,4979
2018-05-06,3866,3884,3101,2785,2931,475,232,297,146,235,690,671,4985,4979
2018-05-07,3866,3886,3106,2795,2936,483,235,303,146,238,698,682,4985,4979
2018-05-08,3867,3886,3112,2805,2942,488,237,305,147,240,707,690,4985,4979
2018-05-09,3867,3887,3115,2822,2945,503,240,311,148,241,717,704,4985,4979
2018-05-10,3867,3888,3122,2832,2946,517,243,315,150,243,727,712,4985,4979
2018-05-11,3867,3889,3123,2843,2952,530,248,319,153,243,738,720,4985,4980
2018-05-12,3868,3890,3125,2851,2956,545,252,320,154,243,753,732,4985,4980
2018-05-13,3868,3890,3129,2860,2957,562,254,322,155,244,759,744,4985,4980
2018-05-14,3868,3890,3137,2871,2962,572,259,324,157,245,768,756,4985,4980
2018-05-15,3868,3891,3138,2883,2969,581,263,332,159,248,777,764,4985,4980
2018-05-16,3870,3891,3142,2892,2970,588,265,335,161,249,787,774,4985,4980
