,gamma_2.5,gamma_2.5,gamma_3.1,gamma_3.1,gamma_3.5,gamma_3.5,gamma_4,gamma_4,ER_1.5,ER_1.5,ER_2,ER_2,ER_6,ER_6
2018-05-17,3871,3891,3147,2898,2972,597,271,336,161,250,800,783,4985,4981
2018-05-18,3872,3894,3151,2902,2976,607,274,340,163,253,808,788,4985,4981
2018-05-19,3873,3896,3157,2910,2983,620,275,345,163,256,814,792,4985,4981
2018-05-20,3873,3897,3161,2918,2987,626,278,348,165,256,822,798,4985,4982
2018-05-21,3874,3897,3166,2925,2989,645,280,352,165,258,834,804,4985,4982
2018-05-22,3874,3897,3168,2936,2990,657,280,359,167,261,848,820,4985,4982
2018-05-23,3875,3897,3177,2944,2994,671,286,367,168,262,863,831,4985,4982
2018-05-24,3875,3897,3181,2955,2996,682,289,369,169,264,872,837,4985,4982
2018-05-25,3875,3897,3185,2960,2999,693,290,373,170,265,884,849,4985,4982
2018-05-26,3875,3897,3190,2970,3000,705,296,376,172,266,897,858,4985,4982
2018-05-27,3876,3897,3198,2978,3001,718,298,380,172,266,907,869,4985,4982
2018-05-28,3876,3897,3201,2993,3004,734,305,385,175,267,921,880,4985,4982
2018-05-29,3877,3897,3203,2997,3010,747,308,386,175,267,935,888,4985,4982
2018-05-30,3877,3897,3206,3004,3010,759,311,391,177,268,946,901,4985,4982
2018-05-31,3879,3898,3209,3013,3014,772,316,393,178,272,963,909,4985,4982
2018-06-01,3879,3898,3214,3018,3017,788,319,396,179,276,984,919,4985,4982
2018-06-02,3879,3898,3216,3027,3018,802,324,402,180,281,996,939,4985,4982
2018-06-03,3879,3898,3222,3038,3021,817,329,406,180,283,1010,947,4985,4982
2018-06-04,3879,3898,3224,3043,3021,830,341,409,181,286,1022,956,4985,4982
2018-06-05,3879,3898,3227,3049,3024,846,347,414,182,287,1039,967,4985,4982
2018-06-06,3880,3898,3229,3059,3027,858,350,418,184,291,1050,976,4985,4982
2018-06-07,3881,3898,3230,3067,3027,877,354,425,188,292,1067,988,4985,4983
2018-06-08,3881,3899,3233,3071,3031,893,363,427,190,296,1077,1000,4985,4983
2018-06-09,3881,3899,3236,3079,3034,906,371,434,193,297,1093,1009,4985,4984
2018-06-10,3881,3900,3238,3089,3035,919,376,442,195,302,1111,1022,4985,4984
2018-06-11,3882,3901,3240,3094,3037,933,383,445,197,307,1129,1036,4985,4984
2018-06-12,3882,3901,3242,3101,3037,944,389,453,200,307,1147,1050,4985,4984
2018-06-13,3883,3901,3244,3105,3039,954,397,458,201,309,1163,1061,4985,4984
2018-06-14,3884,3902,3249,3111,3043,962,404,462,202,309,1177,1067,4985,4984
2018-06-15,3884,3902,3250,3120,3046,974,407,468,203,312,1200,1086,4985,4984
2018-06-16,3884,3902,3252,3123,3046,992,416,476,204,313,1215,1093,4985,4984
2018-06-17,3884,3902,3257,3128,3048,1006,422,482,206,314,1227,1100,4985,4984
2018-06-18,3884,3902,3262,3136,3050,1016,428,490,209,316,1242,1110,4985,4984
2018-06-19,3884,3902,3263,3140,3052,1031,440,494,209,319,1261,1121,4985,4984
2018-06-20,3885,3903,3265,3145,3052,1046,443,501,211,319,1273,1138,4985,4984
2018-06-21,3885,3903,3267,3152,3052,1062,449,508,211,322,1288,1151,4985,4984
2018-06-22,3885,3904,3269,3156,3054,1073,452,513,213,323,1303,1161,4985,4984
2018-06-23,3886,3904,3270,3162,3056,1086,457,518,215,326,1318,1173,4985,4984
2018-06-24,3886,3904,3275,3164,3059,1097,465,525,215,329,1331,1178,4985,4985
2018-06-25,3888,3904,3275,3166,3060,1114,472,534,216,331,1342,1197,4985,4985
2018-06-26,3888,3904,3277,3171,3065,1130,477,537,217,334,1351,1219,4985,4985
2018-06-27,3889,3904,3279,3175,3066,1149,488,544,219,337,1366,1239,4985,4985
2018-06-28,3889,3904,3280,3179,3067,1171,494,552,219,338,1378,1253,4985,4985
2018-06-29,3889,3904,3283,3184,3069,1192,502,563,219,342,1401,1265,4985,4985
2018-06-30,3889,3904,3286,3188,3070,1212,512,570,220,344,1415,1278,4985,4985
2018-07-01,3889,3904,3287,3190,3070,1223,519,571,224,346,1432,1295,4985,4985
2018-07-02,3890,3904,3288,3193,3074,1240,523,577,224,349,1443,1307,4985,4985
2018-07-03,3891,3904,3291,3197,3076,1251,531,581,226,355,1462,1319,4985,4985
2018-07-04,3891,3904,3293,3200,3079,1272,543,591,227,362,1474,1334,4985,4985
2018-07-05,3891,3904,3295,3204,3082,1287,553,595,228,366,1486,1345,4985,4985
2018-07-06,3892,3905,3297,3207,3082,1299,558,604,229,368,1504,1356,4985,4985
2018-07-07,3892,3905,3298,3213,3083,1314,566,609,229,369,1528,1370,4985,4985
2018-07-08,3892,3905,3300,3215,3084,1329,574,616,232,369,1546,1383,4985,4985
2018-07-09,3892,3905,3301,3218,3085,1338,579,624,234,373,1558,1397,4985,4985
2018-07-10,3892,3905,3303,3224,3088,1355,590,628,234,378,1580,1412,4985,4985
2018-07-11,3892,3905,3303,3230,3088,1373,594,635,235,380,1604,1424,4985,4985
2018-07-12,3892,3905,3304,3234,3090,1390,601,645,238,383,1615,1439,4985,4985
2018-07-13,3892,3905,3306,3239,3094,1401,608,650,240,387,1630,1452,4985,4985
2018-07-14,3892,3905,3307,3246,3098,1413,621,659,244,389,1643,1468,4985,4985
2018-07-15,3892,3905,3308,3249,3099,1432,624,663,246,393,1658,1485,4985,4985
2018-07-16,3892,3905,3309,3253,3104,1448,632,671,248,395,1674,1508,4985,4985
2018-07-17,3894,3907,3310,3254,3104,1460,636,675,248,399,1690,1524,4985,4985
2018-07-18,3894,3907,3311,3259,3104,1475,640,685,250,401,1709,1537,4985,4985
2018-07-19,3895,3907,3314,3265,3105,1495,647,690,251,403,1723,1552,4985,4985
2018-07-20,3895,3907,3315,3269,3105,1511,654,702,252,408,1740,1569,4985,4985
2018-07-21,3896,3908,3318,3270,3106,1529,665,711,253,411,1763,1585,4985,4985
2018-07-22,3896,3908,3318,3276,3107,1546,671,713,254,415,1781,1604,4985,4985
2018-07-23,3896,3908,3318,3283,3110,1552,680,721,255,419,1802,1616,4985,4985
2018-07-24,3898,3908,3322,3283,3111,1563,685,726,256,420,1817,1628,4985,4985
2018-07-25,3898,3908,3323,3285,3113,1585,688,735,257,422,1836,1641,4985,4985
2018-07-26,3899,3908,3326,3290,3116,1597,690,747,257,427,1851,1659,4985,4985
2018-07-27,3899,3908,3328,3293,3118,1617,695,761,257,430,1871,1673,4985,4985
2018-07-28,3899,3909,3330,3296,3120,1631,708,773,258,434,1891,1690,4985,4985
2018-07-29,3900,3909,3333,3300,3120,1641,714,783,258,439,1909,1702,4985,4985
2018-07-30,3900,3909,3335,3302,3121,1653,721,788,263,446,1918,1719,4985,4985
2018-07-31,3900,3909,3336,3304,3121,1665,734,794,265,446,1934,1739,4985,4985
2018-08-01,3901,3909,3340,3305,3121,1683,742,800,265,446,1949,1754,4985,4985
2018-08-02,3901,3909,3342,3307,3123,1696,746,809,269,450,1970,1762,4985,4985
2018-08-03,3901,3909,3343,3308,3125,1718,756,815,271,451,1988,1778,4985,4985
2018-08-04,3901,3909,3343,3309,3125,1733,768,820,273,454,1998,1788,4985,4985
2018-08-05,3901,3909,3343,3309,3126,1744,776,831,275,457,2011,1803,4985,4985
2018-08-06,3901,3909,3345,3314,3127,1760,785,838,277,459,2033,1820,4985,4985
2018-08-07,3901,3909,3345,3317,3130,1778,797,846,280,460,2043,1837,4985,4985
2018-08-08,3901,3909,3347,3320,3131,1796,805,852,281,465,2059,1861,4985,4985
2018-08-09,3901,3909,3349,3323,3131,1814,815,859,284,467,2070,1875,4985,4985
2018-08-10,3901,3909,3351,3325,3132,1832,830,869,286,472,2088,1891,4985,4985
2018-08-11,3902,3909,3351,3329,3132,1843,837,876,286,477,2102,1908,4985,4985
2018-08-12,3902,3909,3352,3332,3132,1860,844,883,287,481,2120,1921,4985,4985
2018-08-13,3903,3909,3353,3334,3134,1877,854,892,290,485,2138,1938,4985,4985
2018-08-14,3903,3909,3354,3335,3135,1887,863,899,294,491,2154,1951,4985,4985
2018-08-15,3904,3909,3356,3339,3135,1904,874,908,294,495,2169,1962,4985,4985
2018-08-16,3905,3909,3357,3341,3136,1912,885,923,297,499,2181,1976,4985,4985
2018-08-17,3905,3909,3359,3343,3137,1924,898,927,297,504,2195,1992,4985,4985
2018-08-18,3905,3909,3359,3345,3137,1943,912,938,301,508,2217,2010,4985,4985
2018-08-19,3905,3909,3361,3346,3138,1957,920,943,302,513,2236,2023,4985,4985
2018-08-20,3905,3909,3362,3351,3139,1976,929,953,306,518,2245,2045,4985,4985
2018-08-21,3905,3909,3364,3353,3140,1992,937,958,308,524,2265,2065,4985,4985
2018-08-22,3906,3909,3367,3355,3144,2003,947,964,310,529,2282,2080,4985,4985
2018-08-23,3906,3909,3368,3357,3144,2021,958,976,315,530,2296,2089,4985,4985
2018-08-24,3906,3909,3369,3360,3144,2037,970,982,319,532,2308,2107,4985,4985
2018-08-25,3906,3909,3370,3361,3146,2053,982,992,323,534,2324,2128,4985,4985
2018-08-26,3906,3909,3370,3362,3146,2067,987,1000,324,537,2337,2148,4985,4985
2018-08-27,3907,3909,3370,3364,3148,2083,1002,1016,326,541,2350,2163,4985,4985
2018-08-28,3907,3909,3371,3368,3149,2098,1012,1022,328,543,2363,2178,4985,4985
2018-08-29,3907,3909,3372,3370,3149,2108,1026,1032,329,544,2380,2194,4985,4985
2018-08-30,3907,3909,3373,3371,3151,2117,1034,1043,331,550,2399,2213,4985,4985
2018-08-31,3907,3910,3375,3372,3152,2131,1044,1055,338,553,2421,2229,4985,4985
2018-09-01,3907,3910,3377,3373,3155,2146,1051,1070,344,559,2435,2245,4985,4985
2018-09-02,3907,3910,3378,3374,3156,2156,1065,1075,348,563,2454,2261,4985,4985
2018-09-03,3907,3910,3378,3375,3158,2165,1073,1084,351,567,2465,2279,4985,4985
2018-09-04,3907,3910,3383,3378,3159,2175,1086,1089,354,575,2484,2295,4985,4985
2018-09-05,3907,3910,3384,3379,3159,2183,1103,1099,357,579,2502,2316,4985,4985
2018-09-06,3907,3910,3387,3380,3159,2198,1113,1107,361,587,2524,2332,4985,4985
2018-09-07,3907,3910,3387,3380,3160,2214,1128,1113,365,590,2536,2347,4985,4985
2018-09-08,3907,3910,3387,3382,3162,2226,1142,1121,370,592,2549,2359,4985,4985
2018-09-09,3907,3910,3388,3383,3163,2236,1157,1131,371,598,2565,2371,4985,4985
2018-09-10,3907,3910,3388,3384,3163,2243,1164,1140,372,601,2578,2388,4985,4985
2018-09-11,3907,3910,3389,3386,3163,2260,1169,1143,375,603,2595,2400,4985,4985
2018-09-12,3908,3910,3390,3386,3164,2272,1178,1149,379,610,2607,2419,4985,4985
2018-09-13,3908,3910,3391,3387,3165,2283,1189,1159,380,615,2625,2437,4985,4985
2018-09-14,3908,3910,3392,3388,3165,2295,1199,1168,382,620,2641,2450,4985,4985
2018-09-15,3908,3910,3394,3388,3166,2304,1210,1175,386,623,2661,2465,4985,4985
2018-09-16,3909,3910,3396,3389,3166,2316,1219,1191,393,627,2683,2484,4985,4985
2018-09-17,3909,3910,3396,3389,3166,2329,1231,1203,398,633,2701,2497,4985,4985
2018-09-18,3909,3910,3397,3389,3168,2344,1240,1214,399,639,2712,2511,4985,4985
2018-09-19,3909,3910,3397,3391,3168,2360,1253,1223,399,641,2725,2529,4985,4985
2018-09-20,3909,3910,3398,3391,3168,2368,1261,1233,401,648,2736,2540,4985,4985
2018-09-21,3909,3910,3399,3392,3170,2382,1275,1245,405,650,2746,2551,4985,4985
2018-09-22,3909,3910,3401,3394,3171,2392,1284,1254,408,653,2763,2562,4985,4985
2018-09-23,3909,3910,3404,3396,3172,2404,1293,1261,410,659,2777,2582,4985,4985
2018-09-24,3909,3910,3404,3397,3173,2413,1302,1274,414,661,2791,2595,4985,4985
2018-09-25,3909,3910,3406,3398,3173,2422,1315,1287,415,672,2801,2609,4985,4985
2018-09-26,3909,3910,3406,3399,3174,2426,1321,1295,416,674,2815,2627,4985,4985
2018-09-27,3909,3910,3406,3401,3176,2433,1335,1310,418,677,2829,2636,4985,4985
2018-09-28,3909,3910,3407,3402,3176,2445,1348,1318,421,679,2843,2653,4985,4985
2018-09-29,3909,3910,3408,3402,3177,2450,1366,1327,426,684,2853,2671,4985,4985
2018-09-30,3909,3910,3408,3404,3178,2455,1378,1335,429,686,2872,2683,4985,4985
2018-10-01,3909,3910,3408,3406,3178,2468,1388,1342,434,687,2880,2702,4985,4985
2018-10-02,3909,3910,3409,3410,3179,2475,1394,1363,436,694,2888,2712,4985,4985
2018-10-03,3909,3910,3409,3410,3180,2491,1405,1370,440,697,2901,2729,4985,4985
2018-10-04,3909,3910,3409,3411,3181,2497,1415,1376,442,704,2917,2747,4985,4985
2018-10-05,3909,3910,3409,3412,3182,2505,1431,1386,449,707,2933,2762,4985,4985
2018-10-06,3909,3910,3409,3414,3182,2513,1439,1394,453,709,2943,2775,4985,4985
2018-10-07,3909,3910,3410,3414,3183,2521,1446,1399,455,711,2954,2791,4985,4985
2018-10-08,3909,3910,3411,3414,3184,2533,1453,1409,461,717,2969,2802,4985,4985
2018-10-09,3909,3910,3411,3414,3184,2539,1461,1423,463,720,2984,2815,4985,4985
2018-10-10,3909,3910,3411,3415,3184,2544,1471,1431,469,725,2999,2829,4985,4985
2018-10-11,3909,3910,3411,3416,3185,2561,1477,1436,472,730,3009,2842,4985,4985
2018-10-12,3909,3910,3412,3417,3185,2574,1487,1449,474,734,3021,2857,4985,4985
2018-10-13,3909,3910,3412,3419,3186,2587,1495,1461,476,740,3033,2865,4985,4985
2018-10-14,3909,3910,3412,3419,3186,2592,1507,1476,481,745,3045,2880,4985,4985
2018-10-15,3909,3910,3414,3419,3188,2598,1518,1484,481,749,3057,2894,4985,4985
2018-10-16,3909,3910,3415,3419,3189,2605,1527,1492,486,753,3074,2904,4985,4985
2018-10-17,3909,3910,3415,3420,3190,2617,1530,1504,491,759,3083,2919,4985,4985
2018-10-18,3909,3910,3415,3422,3190,2624,1542,1509,494,764,3100,2926,4985,4985
2018-10-19,3909,3910,3416,3424,3190,2632,1553,1520,495,769,3110,2945,4985,4985
2018-10-20,3909,3910,3416,3425,3190,2643,1560,1525,498,774,3117,2962,4985,4985
2018-10-21,3909,3910,3416,3425,3191,2650,1571,1531,502,782,3126,2970,4985,4985
2018-10-22,3910,3910,3416,3425,3192,2658,1580,1545,507,787,3134,2991,4985,4985
2018-10-23,3910,3910,3417,3425,3193,2665,1586,1559,514,796,3147,2998,4985,4985
2018-10-24,3910,3910,3418,3425,3193,2675,1595,1569,521,802,3157,3014,4985,4985
2018-10-25,3910,3910,3419,3425,3195,2681,1602,1575,528,804,3171,3032,4985,4985
2018-10-26,3910,3910,3419,3426,3196,2687,1612,1580,534,810,3179,3047,4985,4985
2018-10-27,3910,3910,3419,3427,3198,2696,1623,1586,541,813,3187,3059,4985,4985
2018-10-28,3910,3910,3420,3427,3199,2703,1634,1596,545,819,3193,3069,4985,4985
2018-10-29,3910,3910,3420,3427,3201,2710,1646,1606,549,823,3204,3081,4985,4985
2018-10-30,3910,3910,3420,3427,3201,2722,1652,1617,557,826,3208,3095,4985,4985
2018-10-31,3910,3910,3420,3427,3202,2726,1658,1626,560,832,3214,3107,4985,4985
2018-11-01,3910,3910,3423,3429,3202,2734,1669,1633,564,842,3222,3124,4985,4985
2018-11-02,3910,3910,3423,3430,3202,2743,1683,1645,568,853,3230,3138,4985,4985
2018-11-03,3910,3910,3423,3430,3203,2750,1693,1654,572,859,3238,3150,4985,4985
2018-11-04,3910,3910,3424,3431,3203,2757,1704,1663,577,864,3244,3159,4985,4985
2018-11-05,3910,3910,3424,3431,3204,2766,1715,1673,582,868,3254,3173,4985,4985
2018-11-06,3910,3910,3425,3432,3204,2770,1725,1680,589,875,3258,3181,4985,4985
2018-11-07,3910,3910,3425,3433,3204,2774,1732,1688,595,879,3271,3195,4985,4985
2018-11-08,3910,3910,3428,3433,3204,2785,1740,1695,601,883,3279,3205,4985,4985
2018-11-09,3910,3910,3429,3434,3204,2787,1747,1702,605,887,3286,3211,4985,4985
2018-11-10,3911,3910,3430,3434,3204,2789,1759,1711,607,893,3295,3224,4985,4985
2018-11-11,3911,3910,3432,3434,3205,2794,1769,1718,611,898,3305,3234,4985,4985
2018-11-12,3911,3910,3432,3434,3206,2800,1785,1731,618,906,3312,3242,4985,4985
2018-11-13,3911,3910,3432,3434,3206,2806,1795,1740,621,909,3321,3255,4985,4985
2018-11-14,3911,3910,3432,3434,3207,2810,1802,1751,625,915,3328,3265,4985,4985
2018-11-15,3911,3910,3432,3434,3208,2821,1814,1762,627,921,3341,3273,4985,4985
2018-11-16,3911,3910,3433,3436,3208,2826,1822,1772,629,924,3344,3286,4985,4985
2018-11-17,3911,3910,3433,3438,3208,2835,1832,1785,633,927,3352,3294,4985,4985
2018-11-18,3911,3910,3434,3438,3209,2843,1844,1792,637,931,3359,3301,4985,4985
2018-11-19,3911,3910,3435,3438,3209,2848,1855,1799,640,938,3364,3311,4985,4985
2018-11-20,3911,3910,3436,3438,3209,2853,1862,1809,645,941,3371,3318,4985,4985
2018-11-21,3911,3910,3436,3438,3209,2854,1871,1818,652,951,3376,3326,4985,4985
2018-11-22,3911,3910,3437,3438,3211,2857,1881,1828,658,956,3380,3334,4985,4985
2018-11-23,3911,3910,3437,3439,3211,2866,1893,1834,670,961,3390,3345,4985,4985
2018-11-24,3911,3910,3437,3439,3211,2872,1901,1843,673,972,3394,3350,4985,4985
2018-11-25,3911,3910,3437,3440,3213,2875,1909,1848,681,975,3401,3358,4985,4985
2018-11-26,3911,3910,3439,3440,3213,2877,1913,1856,684,978,3410,3369,4985,4985
2018-11-27,3911,3910,3439,3440,3214,2880,1921,1862,694,982,3417,3372,4985,4985
2018-11-28,3911,3910,3439,3440,3214,2888,1928,1870,698,986,3423,3379,4985,4985
2018-11-29,3911,3910,3442,3440,3214,2890,1935,1879,706,992,3433,3387,4985,4985
2018-11-30,3911,3910,3442,3440,3214,2891,1940,1890,707,1000,3440,3394,4985,4985
2018-12-01,3911,3910,3442,3441,3215,2897,1945,1900,711,1004,3443,3405,4985,4985
2018-12-02,3911,3910,3442,3441,3216,2901,1953,1915,715,1008,3446,3415,4985,4985
2018-12-03,3911,3910,3442,3441,3217,2905,1962,1924,719,1016,3455,3422,4985,4985
2018-12-04,3911,3910,3442,3441,3217,2907,1968,1935,725,1026,3458,3428,4985,4985
2018-12-05,3911,3910,3442,3443,3217,2914,1980,1942,729,1032,3463,3435,4985,4985
2018-12-06,3911,3910,3443,3443,3218,2916,1987,1949,733,1036,3468,3445,4985,4985
2018-12-07,3911,3910,3444,3443,3219,2923,1995,1959,736,1039,3473,3454,4985,4985
2018-12-08,3911,3910,3444,3443,3219,2931,2003,1972,741,1043,3479,3460,4985,4985
2018-12-09,3911,3910,3444,3443,3219,2940,2012,1979,746,1051,3483,3472,4985,4985
2018-12-10,3911,3910,3446,3445,3219,2945,2019,1984,750,1060,3493,3483,4985,4985
2018-12-11,3911,3910,3446,3446,3219,2951,2028,1988,755,1066,3498,3490,4985,4985
2018-12-12,3911,3910,3446,3446,3219,2953,2038,1992,760,1074,3506,3493,4985,4985
2018-12-13,3911,3910,3447,3446,3220,2955,2045,1999,762,1084,3513,3501,4985,4985
2018-12-14,3911,3910,3447,3446,3221,2962,2052,2004,768,1089,3516,3509,4985,4985
2018-12-15,3911,3910,3447,3447,3221,2963,2056,2015,771,1092,3522,3517,4985,4985
2018-12-16,3911,3910,3448,3448,3221,2967,2061,2019,775,1099,3528,3526,4985,4985
2018-12-17,3911,3910,3448,3448,3222,2970,2069,2028,782,1103,3532,3535,4985,4985
2018-12-18,3911,3910,3448,3448,3222,2976,2075,2038,788,1107,3538,3541,4985,4985
2018-12-19,3911,3910,3448,3448,3222,2980,2082,2048,796,1115,3545,3551,4985,4985
2018-12-20,3911,3910,3449,3448,3222,2982,2088,2057,803,1119,3549,3555,4985,4985
2018-12-21,3911,3910,3449,3448,3222,2984,2100,2064,806,1125,3552,3563,4985,4985
2018-12-22,3911,3910,3449,3448,3222,2987,2110,2072,811,1137,3555,3568,4985,4985
2018-12-23,3911,3910,3450,3448,3222,2990,2121,2080,816,1144,3560,3572,4985,4985
2018-12-24,3911,3910,3450,3449,3222,2994,2126,2090,819,1154,3566,3572,4985,4985
2018-12-25,3911,3910,3450,3449,3222,2997,2132,2100,824,1155,3570,3578,4985,4985
2018-12-26,3911,3910,3450,3449,3223,3001,2137,2108,829,1161,3571,3583,4985,4985
2018-12-27,3911,3910,3450,3449,3223,3003,2145,2111,832,1170,3576,3586,4985,4985
2018-12-28,3911,3910,3450,3450,3223,3007,2151,2117,837,1174,3580,3591,4985,4985
2018-12-29,3911,3910,3450,3450,3223,3012,2156,2122,841,1183,3583,3601,4985,4985
2018-12-30,3911,3910,3450,3450,3223,3015,2162,2131,846,1191,3587,3607,4985,4985
2018-12-31,3911,3910,3451,3450,3224,3021,2168,2138,851,1196,3596,3610,4985,4985
2019-01-01,3911,3910,3451,3451,3224,3023,2173,2148,856,1200,3599,3618,4985,4985
2019-01-02,3911,3910,3451,3451,3224,3027,2178,2159,859,1207,3603,3624,4985,4985
2019-01-03,3911,3910,3451,3451,3224,3031,2187,2165,861,1215,3611,3628,4985,4985
2019-01-04,3911,3910,3451,3451,3225,3035,2195,2173,871,1224,3615,3632,4985,4985
2019-01-05,3911,3910,3451,3451,3225,3037,2206,2183,879,1230,3618,3638,4985,4985
2019-01-06,3911,3910,3451,3451,3225,3037,2211,2190,883,1237,3626,3644,4985,4985
2019-01-07,3912,3910,3451,3451,3225,3037,2216,2199,892,1245,3631,3646,4985,4985
2019-01-08,3912,3910,3452,3452,3226,3042,2220,2207,903,1250,3634,3653,4985,4985
2019-01-09,3912,3910,3452,3452,3226,3044,2222,2214,905,1256,3640,3658,4985,4985
2019-01-10,3912,3910,3453,3452,3226,3048,2229,2220,912,1260,3648,3664,4985,4985
2019-01-11,3912,3910,3453,3452,3226,3053,2239,2228,922,1268,3651,3667,4985,4985
2019-01-12,3912,3910,3453,3452,3226,3056,2243,2233,927,1275,3656,3671,4985,4985
