Country/Region,Province/State,Populations
US,NaN,331002651.00
Italy,NaN,60461826.00
Spain,NaN,46754778.00
France,NaN,65273511.00
United Kingdom,NaN,67886011.00
US,New York,19453561.00
Iran,NaN,83992949.00
Belgium,NaN,11589623.00
Germany,NaN,83783942.00
China,Hubei,5850000.00
US,New Jersey,8882190.00
Netherlands,NaN,17134872.00
US,Michigan,9986857.00
Brazil,NaN,212559417.00
Turkey,NaN,84339067.00
Switzerland,NaN,8654622.00
Sweden,NaN,10099265.00
US,Massachusetts,6949503.00
US,Louisiana,4648794.00
US,Illinois,12671821.00
US,Connecticut,3565287.00
US,California,39512223.00
US,Pennsylvania,12801989.00
Portugal,NaN,10196709.00